Name,Size Using Noval Approach,Size Using JPEG-LS
264.jpg,17552,14909
265.jpg,20665,21028
266.jpg,15722,12367
267.jpg,17978,17411
268.jpg,12970,9439
269.jpg,16685,12719
270.jpg,18397,16874
271.jpg,19037,18978
272.jpg,16596,14927
273.jpg,16317,14353
274.jpg,18582,17862
275.jpg,16947,15170
276.jpg,15323,11976
277.jpg,14342,12958
278.jpg,17065,15308
279.jpg,16805,14012
280.jpg,14340,9874
281.jpg,20123,20329
282.jpg,18909,18146
283.jpg,19747,18994
284.jpg,15871,13090
285.jpg,16167,13033
286.jpg,18469,17162
287.jpg,12539,10566
288.jpg,20045,20358
289.jpg,19894,20343
290.jpg,14233,11157
291.jpg,17869,16646
292.jpg,14419,11523
293.jpg,20624,21849
294.jpg,16246,13369
295.jpg,20206,20227
296.jpg,18604,18676
297.jpg,19104,18950
298.jpg,16320,14318
299.jpg,17522,14624
300.jpg,19998,20586
301.jpg,17407,14423
302.jpg,11039,8679
303.jpg,15541,13666
304.jpg,19625,19651
305.jpg,20467,21277
306.jpg,14536,13118
307.jpg,16558,14689
308.jpg,18226,17014
309.jpg,20014,20093
310.jpg,20306,20156
311.jpg,14548,13243
312.jpg,17700,17037
313.jpg,13998,11459
314.jpg,16185,13741
315.jpg,17538,16293
316.jpg,17355,15766
317.jpg,19863,19343
318.jpg,16969,14037
319.jpg,15168,12802
320.jpg,14671,11418
321.jpg,17783,16227
322.jpg,12259,7862
323.jpg,17678,15943
324.jpg,19406,18178
325.jpg,17008,15298
326.jpg,17404,17544
327.jpg,18430,17525
328.jpg,17612,14667
329.jpg,15897,13772
330.jpg,19178,17780
331.jpg,19742,19985
332.jpg,17181,16096
333.jpg,14731,11254
334.jpg,19978,20163
335.jpg,16878,15425
336.jpg,18629,16732
337.jpg,16497,13624
338.jpg,16542,14837
339.jpg,17668,15993
340.jpg,16436,15934
341.jpg,19383,19775
342.jpg,14222,12104
343.jpg,14000,10623
344.jpg,18172,17713
345.jpg,19956,18948
346.jpg,19604,19548
347.jpg,18616,18683
348.jpg,17550,15399
349.jpg,18536,15756
350.jpg,18756,18618
351.jpg,19298,19436
352.jpg,15802,14399
353.jpg,16543,13614
354.jpg,19597,19649
355.jpg,15315,13170
356.jpg,18155,16582
357.jpg,15539,11885
358.jpg,20574,20945
359.jpg,17465,15780
360.jpg,20645,21015
361.jpg,16601,14849
362.jpg,17045,15770
363.jpg,19585,19808
364.jpg,19287,17849
365.jpg,17363,16318
366.jpg,19120,18349
367.jpg,20576,20401
368.jpg,16364,14462
369.jpg,16959,15536
370.jpg,17388,15603
371.jpg,19081,19071
372.jpg,19325,18381
373.jpg,15225,12929
374.jpg,18150,16529
375.jpg,19369,18283
376.jpg,16200,13298
377.jpg,14460,13773
378.jpg,15879,13515
379.jpg,18659,17574
380.jpg,16361,13722
381.jpg,19241,18816
382.jpg,18974,18028
383.jpg,19748,19901
384.jpg,20621,21587
385.jpg,12311,6124
386.jpg,17481,15768
387.jpg,17985,15608
388.jpg,20031,20274
389.jpg,17964,17379
390.jpg,16382,13528
391.jpg,19634,19621
392.jpg,19528,18941
393.jpg,16510,14805
394.jpg,19422,18379
395.jpg,17666,15786
396.jpg,18220,17467
397.jpg,19544,18996
398.jpg,15829,13645
399.jpg,17369,16727
400.jpg,17532,14930
401.jpg,17939,15623
402.jpg,12722,8037
403.jpg,18284,16916
404.jpg,19361,19387
405.jpg,19536,19017
406.jpg,16562,15490
407.jpg,15335,11964
408.jpg,14493,13377
409.jpg,14505,9717
410.jpg,15466,13681
411.jpg,16087,14966
412.jpg,15000,13411
